2019-01-22 23:27:08 startup archives unpack
2019-01-22 23:27:08 install readline-common:all <none> 7.0-3
2019-01-22 23:27:08 status half-installed readline-common:all 7.0-3
2019-01-22 23:27:08 status unpacked readline-common:all 7.0-3
2019-01-22 23:27:08 status unpacked readline-common:all 7.0-3
2019-01-22 23:27:08 install libreadline7:amd64 <none> 7.0-3
2019-01-22 23:27:08 status triggers-pending libc-bin:amd64 2.24-11+deb9u3
2019-01-22 23:27:08 status half-installed libreadline7:amd64 7.0-3
2019-01-22 23:27:08 status unpacked libreadline7:amd64 7.0-3
2019-01-22 23:27:08 status unpacked libreadline7:amd64 7.0-3
2019-01-22 23:27:08 install libssl1.1:amd64 <none> 1.1.0j-1~deb9u1
2019-01-22 23:27:08 status half-installed libssl1.1:amd64 1.1.0j-1~deb9u1
2019-01-22 23:27:08 status unpacked libssl1.1:amd64 1.1.0j-1~deb9u1
2019-01-22 23:27:08 status unpacked libssl1.1:amd64 1.1.0j-1~deb9u1
2019-01-22 23:27:08 install libgmp10:amd64 <none> 2:6.1.2+dfsg-1
2019-01-22 23:27:08 status half-installed libgmp10:amd64 2:6.1.2+dfsg-1
2019-01-22 23:27:08 status unpacked libgmp10:amd64 2:6.1.2+dfsg-1
2019-01-22 23:27:08 status unpacked libgmp10:amd64 2:6.1.2+dfsg-1
2019-01-22 23:27:08 install libnettle6:amd64 <none> 3.3-1+b2
2019-01-22 23:27:08 status half-installed libnettle6:amd64 3.3-1+b2
2019-01-22 23:27:08 status unpacked libnettle6:amd64 3.3-1+b2
2019-01-22 23:27:08 status unpacked libnettle6:amd64 3.3-1+b2
2019-01-22 23:27:08 install libhogweed4:amd64 <none> 3.3-1+b2
2019-01-22 23:27:08 status half-installed libhogweed4:amd64 3.3-1+b2
2019-01-22 23:27:08 status unpacked libhogweed4:amd64 3.3-1+b2
2019-01-22 23:27:08 status unpacked libhogweed4:amd64 3.3-1+b2
2019-01-22 23:27:08 install libidn11:amd64 <none> 1.33-1
2019-01-22 23:27:08 status half-installed libidn11:amd64 1.33-1
2019-01-22 23:27:08 status unpacked libidn11:amd64 1.33-1
2019-01-22 23:27:08 status unpacked libidn11:amd64 1.33-1
2019-01-22 23:27:08 install libffi6:amd64 <none> 3.2.1-6
2019-01-22 23:27:08 status half-installed libffi6:amd64 3.2.1-6
2019-01-22 23:27:08 status unpacked libffi6:amd64 3.2.1-6
2019-01-22 23:27:08 status unpacked libffi6:amd64 3.2.1-6
2019-01-22 23:27:08 install libp11-kit0:amd64 <none> 0.23.3-2
2019-01-22 23:27:08 status half-installed libp11-kit0:amd64 0.23.3-2
2019-01-22 23:27:08 status unpacked libp11-kit0:amd64 0.23.3-2
2019-01-22 23:27:08 status unpacked libp11-kit0:amd64 0.23.3-2
2019-01-22 23:27:08 install libtasn1-6:amd64 <none> 4.10-1.1+deb9u1
2019-01-22 23:27:08 status half-installed libtasn1-6:amd64 4.10-1.1+deb9u1
2019-01-22 23:27:08 status unpacked libtasn1-6:amd64 4.10-1.1+deb9u1
2019-01-22 23:27:08 status unpacked libtasn1-6:amd64 4.10-1.1+deb9u1
2019-01-22 23:27:08 install libgnutls30:amd64 <none> 3.5.8-5+deb9u4
2019-01-22 23:27:08 status half-installed libgnutls30:amd64 3.5.8-5+deb9u4
2019-01-22 23:27:08 status unpacked libgnutls30:amd64 3.5.8-5+deb9u4
2019-01-22 23:27:08 status unpacked libgnutls30:amd64 3.5.8-5+deb9u4
2019-01-22 23:27:08 install libkeyutils1:amd64 <none> 1.5.9-9
2019-01-22 23:27:08 status half-installed libkeyutils1:amd64 1.5.9-9
2019-01-22 23:27:08 status unpacked libkeyutils1:amd64 1.5.9-9
2019-01-22 23:27:08 status unpacked libkeyutils1:amd64 1.5.9-9
2019-01-22 23:27:08 install libkrb5support0:amd64 <none> 1.15-1+deb9u1
2019-01-22 23:27:08 status half-installed libkrb5support0:amd64 1.15-1+deb9u1
2019-01-22 23:27:08 status unpacked libkrb5support0:amd64 1.15-1+deb9u1
2019-01-22 23:27:08 status unpacked libkrb5support0:amd64 1.15-1+deb9u1
2019-01-22 23:27:08 install libk5crypto3:amd64 <none> 1.15-1+deb9u1
2019-01-22 23:27:08 status half-installed libk5crypto3:amd64 1.15-1+deb9u1
2019-01-22 23:27:08 status unpacked libk5crypto3:amd64 1.15-1+deb9u1
2019-01-22 23:27:08 status unpacked libk5crypto3:amd64 1.15-1+deb9u1
2019-01-22 23:27:08 install libkrb5-3:amd64 <none> 1.15-1+deb9u1
2019-01-22 23:27:08 status half-installed libkrb5-3:amd64 1.15-1+deb9u1
2019-01-22 23:27:08 status unpacked libkrb5-3:amd64 1.15-1+deb9u1
2019-01-22 23:27:08 status unpacked libkrb5-3:amd64 1.15-1+deb9u1
2019-01-22 23:27:08 install libgssapi-krb5-2:amd64 <none> 1.15-1+deb9u1
2019-01-22 23:27:08 status half-installed libgssapi-krb5-2:amd64 1.15-1+deb9u1
2019-01-22 23:27:08 status unpacked libgssapi-krb5-2:amd64 1.15-1+deb9u1
2019-01-22 23:27:08 status unpacked libgssapi-krb5-2:amd64 1.15-1+deb9u1
2019-01-22 23:27:08 install libsasl2-modules-db:amd64 <none> 2.1.27~101-g0780600+dfsg-3
2019-01-22 23:27:08 status half-installed libsasl2-modules-db:amd64 2.1.27~101-g0780600+dfsg-3
2019-01-22 23:27:09 status unpacked libsasl2-modules-db:amd64 2.1.27~101-g0780600+dfsg-3
2019-01-22 23:27:09 status unpacked libsasl2-modules-db:amd64 2.1.27~101-g0780600+dfsg-3
2019-01-22 23:27:09 install libsasl2-2:amd64 <none> 2.1.27~101-g0780600+dfsg-3
2019-01-22 23:27:09 status half-installed libsasl2-2:amd64 2.1.27~101-g0780600+dfsg-3
2019-01-22 23:27:09 status unpacked libsasl2-2:amd64 2.1.27~101-g0780600+dfsg-3
2019-01-22 23:27:09 status unpacked libsasl2-2:amd64 2.1.27~101-g0780600+dfsg-3
2019-01-22 23:27:09 install libldap-common:all <none> 2.4.44+dfsg-5+deb9u2
2019-01-22 23:27:09 status half-installed libldap-common:all 2.4.44+dfsg-5+deb9u2
2019-01-22 23:27:09 status unpacked libldap-common:all 2.4.44+dfsg-5+deb9u2
2019-01-22 23:27:09 status unpacked libldap-common:all 2.4.44+dfsg-5+deb9u2
2019-01-22 23:27:09 install libldap-2.4-2:amd64 <none> 2.4.44+dfsg-5+deb9u2
2019-01-22 23:27:09 status half-installed libldap-2.4-2:amd64 2.4.44+dfsg-5+deb9u2
2019-01-22 23:27:09 status unpacked libldap-2.4-2:amd64 2.4.44+dfsg-5+deb9u2
2019-01-22 23:27:09 status unpacked libldap-2.4-2:amd64 2.4.44+dfsg-5+deb9u2
2019-01-22 23:27:09 install libunistring0:amd64 <none> 0.9.6+really0.9.3-0.1
2019-01-22 23:27:09 status half-installed libunistring0:amd64 0.9.6+really0.9.3-0.1
2019-01-22 23:27:09 status unpacked libunistring0:amd64 0.9.6+really0.9.3-0.1
2019-01-22 23:27:09 status unpacked libunistring0:amd64 0.9.6+really0.9.3-0.1
2019-01-22 23:27:09 install libidn2-0:amd64 <none> 0.16-1+deb9u1
2019-01-22 23:27:09 status half-installed libidn2-0:amd64 0.16-1+deb9u1
2019-01-22 23:27:09 status unpacked libidn2-0:amd64 0.16-1+deb9u1
2019-01-22 23:27:09 status unpacked libidn2-0:amd64 0.16-1+deb9u1
2019-01-22 23:27:09 install libnghttp2-14:amd64 <none> 1.18.1-1
2019-01-22 23:27:09 status half-installed libnghttp2-14:amd64 1.18.1-1
2019-01-22 23:27:09 status unpacked libnghttp2-14:amd64 1.18.1-1
2019-01-22 23:27:09 status unpacked libnghttp2-14:amd64 1.18.1-1
2019-01-22 23:27:09 install libpsl5:amd64 <none> 0.17.0-3
2019-01-22 23:27:09 status half-installed libpsl5:amd64 0.17.0-3
2019-01-22 23:27:09 status unpacked libpsl5:amd64 0.17.0-3
2019-01-22 23:27:09 status unpacked libpsl5:amd64 0.17.0-3
2019-01-22 23:27:09 install librtmp1:amd64 <none> 2.4+20151223.gitfa8646d.1-1+b1
2019-01-22 23:27:09 status half-installed librtmp1:amd64 2.4+20151223.gitfa8646d.1-1+b1
2019-01-22 23:27:09 status unpacked librtmp1:amd64 2.4+20151223.gitfa8646d.1-1+b1
2019-01-22 23:27:09 status unpacked librtmp1:amd64 2.4+20151223.gitfa8646d.1-1+b1
2019-01-22 23:27:09 install libssh2-1:amd64 <none> 1.7.0-1
2019-01-22 23:27:09 status half-installed libssh2-1:amd64 1.7.0-1
2019-01-22 23:27:09 status unpacked libssh2-1:amd64 1.7.0-1
2019-01-22 23:27:09 status unpacked libssh2-1:amd64 1.7.0-1
2019-01-22 23:27:09 install libcurl3-gnutls:amd64 <none> 7.52.1-5+deb9u8
2019-01-22 23:27:09 status half-installed libcurl3-gnutls:amd64 7.52.1-5+deb9u8
2019-01-22 23:27:09 status unpacked libcurl3-gnutls:amd64 7.52.1-5+deb9u8
2019-01-22 23:27:09 status unpacked libcurl3-gnutls:amd64 7.52.1-5+deb9u8
2019-01-22 23:27:09 install apt-transport-https:amd64 <none> 1.4.9
2019-01-22 23:27:09 status half-installed apt-transport-https:amd64 1.4.9
2019-01-22 23:27:09 status unpacked apt-transport-https:amd64 1.4.9
2019-01-22 23:27:09 status unpacked apt-transport-https:amd64 1.4.9
2019-01-22 23:27:09 install openssl:amd64 <none> 1.1.0j-1~deb9u1
2019-01-22 23:27:09 status half-installed openssl:amd64 1.1.0j-1~deb9u1
2019-01-22 23:27:09 status unpacked openssl:amd64 1.1.0j-1~deb9u1
2019-01-22 23:27:09 status unpacked openssl:amd64 1.1.0j-1~deb9u1
2019-01-22 23:27:09 install ca-certificates:all <none> 20161130+nmu1+deb9u1
2019-01-22 23:27:09 status half-installed ca-certificates:all 20161130+nmu1+deb9u1
2019-01-22 23:27:09 status unpacked ca-certificates:all 20161130+nmu1+deb9u1
2019-01-22 23:27:09 status unpacked ca-certificates:all 20161130+nmu1+deb9u1
2019-01-22 23:27:09 install gnupg1:amd64 <none> 1.4.21-4+deb9u1
2019-01-22 23:27:09 status half-installed gnupg1:amd64 1.4.21-4+deb9u1
2019-01-22 23:27:09 status unpacked gnupg1:amd64 1.4.21-4+deb9u1
2019-01-22 23:27:09 status unpacked gnupg1:amd64 1.4.21-4+deb9u1
2019-01-22 23:27:09 startup packages configure
2019-01-22 23:27:09 configure readline-common:all 7.0-3 <none>
2019-01-22 23:27:09 status unpacked readline-common:all 7.0-3
2019-01-22 23:27:09 status half-configured readline-common:all 7.0-3
2019-01-22 23:27:09 status installed readline-common:all 7.0-3
2019-01-22 23:27:09 configure libnettle6:amd64 3.3-1+b2 <none>
2019-01-22 23:27:09 status unpacked libnettle6:amd64 3.3-1+b2
2019-01-22 23:27:09 status half-configured libnettle6:amd64 3.3-1+b2
2019-01-22 23:27:09 status installed libnettle6:amd64 3.3-1+b2
